Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
28,Yes,Travel_Rarely,Research & Development,5,Masters,65,3,Male,50,3,Laboratory Technician,3,Single,3441,Yes,13,2,2,2,2
44,No,Travel_Rarely,Sales,1,Doctorate,68,2,Female,75,3,Sales Executive,1,Divorced,5454,Yes,21,9,4,3,1
35,No,Non-Travel,Research & Development,11,Associates,70,3,Male,79,2,Healthcare Representative,1,Married,9884,Yes,13,10,4,0,2
26,No,Travel_Rarely,Sales,23,Bachelors,72,3,Female,47,2,Sales Executive,4,Married,4157,Yes,19,5,2,2,0
33,No,Travel_Frequently,Research & Development,1,Associates,73,1,Female,98,3,Research Director,4,Single,13458,Yes,12,15,15,14,8
35,No,Travel_Frequently,Sales,18,Doctorate,74,2,Male,71,3,Sales Executive,1,Married,9069,No,22,9,9,8,1
35,No,Travel_Rarely,Research & Development,23,Masters,75,3,Female,30,3,Laboratory Technician,1,Married,4014,Yes,15,4,2,2,2
31,No,Travel_Rarely,Research & Development,7,Masters,76,4,Male,48,3,Laboratory Technician,4,Divorced,5915,No,22,10,7,7,1
37,No,Travel_Rarely,Research & Development,1,Masters,77,1,Male,51,2,Manufacturing Director,3,Divorced,5993,No,18,7,7,5,0
32,No,Travel_Rarely,Research & Development,1,Bachelors,78,1,Male,33,3,Manufacturing Director,4,Married,6162,Yes,22,9,9,8,7
38,No,Travel_Frequently,Research & Development,29,Doctorate,79,4,Female,50,3,Laboratory Technician,4,Single,2406,No,11,10,10,3,9
50,No,Travel_Rarely,Research & Development,7,Associates,80,2,Female,43,2,Research Director,3,Divorced,18740,Yes,12,29,27,3,13
59,No,Travel_Rarely,Sales,25,Bachelors,81,1,Female,99,3,Sales Executive,1,Single,7637,No,11,28,21,16,7
36,No,Travel_Rarely,Research & Development,8,Bachelors,83,3,Female,59,3,Healthcare Representative,3,Divorced,10096,No,13,17,17,14,12
55,No,Travel_Rarely,Research & Development,8,Bachelors,84,4,Female,33,3,Manager,3,Divorced,14756,Yes,14,21,5,0,0
36,No,Travel_Frequently,Research & Development,11,Bachelors,85,2,Male,95,2,Manufacturing Director,2,Single,6499,No,13,6,6,5,0
45,No,Travel_Rarely,Research & Development,7,Bachelors,86,2,Male,59,3,Research Scientist,1,Divorced,9724,No,17,25,1,0,0
35,No,Travel_Frequently,Research & Development,1,Bachelors,88,2,Male,79,3,Research Scientist,1,Married,2194,No,13,5,3,2,1
36,Yes,Travel_Rarely,Research & Development,9,Bachelors,90,4,Male,79,2,Research Scientist,3,Married,3388,Yes,17,2,1,0,0
59,No,Travel_Frequently,Sales,1,High School,91,1,Female,57,2,Sales Executive,3,Single,5473,No,11,20,4,3,1
29,No,Travel_Rarely,Research & Development,2,Bachelors,94,3,Male,76,3,Research Scientist,2,Married,2703,No,23,6,5,4,0
31,No,Travel_Rarely,Research & Development,1,Masters,95,3,Male,87,3,Research Scientist,2,Single,2501,No,17,1,1,1,1
32,No,Travel_Rarely,Research & Development,1,Bachelors,96,2,Male,66,3,Research Scientist,2,Married,6220,No,17,10,10,4,0
36,No,Travel_Rarely,Research & Development,6,Bachelors,97,2,Female,55,4,Laboratory Technician,4,Married,3038,No,12,5,1,0,0
31,No,Travel_Rarely,Research & Development,8,Masters,98,3,Female,61,3,Manufacturing Director,4,Single,4424,No,23,11,11,7,1
35,No,Travel_Rarely,Sales,1,Masters,100,3,Male,32,2,Sales Executive,1,Single,4312,No,14,16,15,13,2
45,No,Travel_Rarely,Research & Development,6,Masters,101,4,Male,52,3,Research Director,1,Married,13245,Yes,14,17,0,0,0
37,No,Travel_Rarely,Research & Development,7,Masters,102,1,Male,30,3,Research Director,3,Single,13664,No,13,16,5,2,0
46,No,Travel_Rarely,Human Resources,5,Associates,103,2,Male,80,3,Human Resources,2,Divorced,5021,Yes,22,16,4,2,0
30,No,Travel_Rarely,Research & Development,1,High School,104,4,Male,55,2,Laboratory Technician,4,Married,5126,Yes,12,10,10,8,3
35,No,Travel_Rarely,Research & Development,1,Bachelors,105,2,Male,30,2,Research Scientist,3,Single,2859,No,18,6,6,4,0
55,No,Travel_Rarely,Sales,1,Associates,106,1,Male,70,3,Sales Executive,4,Married,10239,No,14,24,1,0,1
38,No,Non-Travel,Research & Development,6,Bachelors,107,2,Female,79,1,Research Scientist,4,Divorced,5329,Yes,12,17,13,11,1
34,No,Travel_Rarely,Research & Development,1,Associates,110,1,Male,94,3,Manufacturing Director,2,Married,4325,No,15,5,5,2,1
56,No,Travel_Rarely,Research & Development,7,Bachelors,112,4,Male,49,1,Manufacturing Director,4,Single,7260,No,11,37,6,4,0
23,No,Travel_Rarely,Sales,2,High School,113,3,Male,62,3,Sales Representative,1,Divorced,2322,No,13,3,0,0,0
51,No,Travel_Rarely,Research & Development,9,Masters,116,4,Male,96,3,Laboratory Technician,4,Married,2075,No,23,10,4,2,0
30,No,Travel_Rarely,Research & Development,2,Bachelors,117,3,Male,99,2,Healthcare Representative,4,Married,4152,No,19,11,11,10,10
46,Yes,Travel_Rarely,Sales,9,Associates,118,3,Male,64,2,Sales Executive,4,Single,9619,No,16,9,9,8,4
40,No,Travel_Frequently,Research & Development,1,Masters,119,3,Male,78,2,Healthcare Representative,2,Married,13503,No,22,22,22,3,11
51,No,Travel_Rarely,Sales,21,Masters,120,3,Male,71,3,Sales Executive,4,Single,5441,Yes,22,11,10,7,1
30,No,Travel_Rarely,Sales,4,Associates,121,3,Female,63,2,Sales Executive,2,Divorced,5209,Yes,12,11,11,8,2
46,No,Travel_Frequently,Research & Development,1,Bachelors,124,3,Male,40,2,Healthcare Representative,1,Married,10673,Yes,13,21,10,9,9
32,No,Travel_Rarely,Sales,6,Masters,125,2,Male,87,3,Sales Executive,3,Single,5010,No,16,12,11,8,5
54,No,Travel_Rarely,Research & Development,2,Masters,126,1,Female,60,3,Research Director,3,Married,13549,No,12,16,4,3,0
24,No,Travel_Rarely,Sales,3,Associates,128,1,Female,33,3,Sales Executive,3,Married,4999,No,21,4,3,2,0
28,No,Non-Travel,Sales,4,Bachelors,129,2,Male,43,3,Sales Executive,3,Married,4221,No,15,5,5,4,0
58,No,Travel_Rarely,Sales,10,Masters,131,4,Male,37,3,Sales Executive,3,Single,13872,No,13,38,37,10,1
44,No,Non-Travel,Research & Development,23,Bachelors,132,2,Male,67,3,Laboratory Technician,2,Married,2042,No,12,17,3,2,1
37,Yes,Travel_Rarely,Human Resources,6,Masters,133,3,Male,63,3,Human Resources,1,Divorced,2073,Yes,22,7,3,2,0
32,No,Travel_Rarely,Research & Development,1,High School,134,4,Male,71,3,Research Scientist,1,Single,2956,No,13,1,1,0,0
20,Yes,Travel_Frequently,Research & Development,6,Bachelors,137,4,Female,66,2,Laboratory Technician,4,Single,2926,Yes,18,1,1,0,1
34,No,Travel_Rarely,Research & Development,6,Masters,138,1,Female,41,3,Research Scientist,3,Single,4809,No,14,16,16,13,2
37,No,Non-Travel,Research & Development,2,Associates,139,3,Male,100,2,Healthcare Representative,4,Divorced,5163,No,14,17,1,0,0
59,No,Non-Travel,Human Resources,2,Masters,140,3,Female,32,2,Manager,4,Married,18844,No,21,30,3,2,2
50,No,Travel_Frequently,Research & Development,1,Bachelors,141,1,Female,73,3,Research Director,2,Married,18172,Yes,19,28,8,3,0
25,Yes,Travel_Rarely,Sales,5,Bachelors,142,3,Male,46,2,Sales Executive,3,Single,5744,Yes,11,6,6,4,0
25,No,Travel_Rarely,Research & Development,7,High School,143,4,Male,64,2,Research Scientist,4,Married,2889,No,11,2,2,2,2
22,No,Travel_Rarely,Research & Development,15,Bachelors,144,2,Female,59,3,Laboratory Technician,4,Single,2871,No,15,1,0,0,0
51,No,Travel_Frequently,Research & Development,1,Masters,145,1,Female,30,2,Healthcare Representative,1,Single,7484,No,20,23,13,12,12
34,Yes,Travel_Frequently,Research & Development,7,Bachelors,147,1,Male,66,1,Laboratory Technician,3,Single,6074,Yes,24,9,9,7,0
54,No,Non-Travel,Human Resources,26,Bachelors,148,4,Female,30,4,Manager,4,Single,17328,Yes,12,23,5,3,4
24,No,Travel_Rarely,Research & Development,18,High School,150,2,Male,52,3,Laboratory Technician,3,Married,2774,No,12,6,5,3,1
34,No,Travel_Rarely,Research & Development,6,Masters,151,3,Female,45,2,Research Scientist,2,Divorced,4505,No,15,12,1,0,0
37,No,Travel_Rarely,Sales,3,Bachelors,152,3,Male,87,3,Sales Executive,4,Single,7428,No,12,12,5,3,1
34,No,Travel_Rarely,Research & Development,5,Bachelors,153,3,Female,45,2,Manager,1,Single,11631,No,12,14,11,10,5
36,No,Travel_Frequently,Sales,11,Associates,154,2,Female,92,3,Sales Executive,4,Married,9738,No,14,10,9,7,2
36,No,Travel_Rarely,Research & Development,3,Associates,155,1,Female,39,3,Laboratory Technician,4,Divorced,2835,No,22,7,1,0,0
43,No,Travel_Frequently,Sales,26,Associates,158,3,Male,92,3,Manager,4,Married,16959,Yes,12,25,25,12,4
30,No,Travel_Frequently,Research & Development,23,Bachelors,159,1,Male,96,1,Research Scientist,3,Divorced,2613,No,25,10,10,7,0
33,No,Non-Travel,Sales,22,Associates,160,3,Male,95,3,Sales Executive,2,Married,6146,No,13,8,7,7,0
56,Yes,Travel_Rarely,Research & Development,14,Masters,161,2,Female,72,3,Research Scientist,2,Married,4963,Yes,18,7,5,4,4
51,No,Travel_Rarely,Research & Development,6,Bachelors,162,1,Male,51,3,Research Director,3,Single,19537,No,13,23,20,18,15
31,Yes,Travel_Rarely,Sales,6,Masters,163,2,Male,76,1,Sales Executive,3,Married,6172,Yes,18,12,7,7,7
26,No,Travel_Rarely,Research & Development,6,Bachelors,164,3,Female,46,2,Research Scientist,2,Married,2368,No,19,5,5,4,4
58,Yes,Travel_Rarely,Research & Development,23,Masters,165,4,Female,94,3,Healthcare Representative,4,Married,10312,No,12,40,40,10,15
19,Yes,Travel_Rarely,Sales,22,High School,167,4,Male,50,3,Sales Representative,3,Single,1675,Yes,19,0,0,0,0
22,No,Travel_Rarely,Research & Development,2,High School,169,3,Male,100,3,Laboratory Technician,4,Married,2523,No,14,3,2,1,2
49,No,Travel_Rarely,Research & Development,20,Masters,170,3,Female,96,3,Manufacturing Director,1,Married,6567,No,14,16,15,11,5
43,No,Travel_Frequently,Research & Development,28,Bachelors,171,2,Female,72,4,Research Scientist,3,Single,4739,No,12,18,3,2,1
50,No,Travel_Frequently,Sales,12,Bachelors,174,3,Female,77,3,Sales Executive,4,Single,9208,No,11,16,2,2,2
31,Yes,Travel_Rarely,Sales,20,Bachelors,175,2,Female,71,1,Sales Executive,3,Married,4559,Yes,11,4,2,2,2
41,No,Travel_Rarely,Sales,9,High School,176,3,Male,96,3,Sales Executive,3,Divorced,8189,Yes,13,12,9,7,0
26,No,Travel_Rarely,Human Resources,25,High School,177,3,Female,61,3,Human Resources,3,Married,2942,No,23,8,8,7,5
36,No,Travel_Rarely,Research & Development,6,Associates,178,2,Male,84,3,Manufacturing Director,2,Divorced,4941,No,20,7,3,2,0
51,Yes,Travel_Frequently,Research & Development,8,Masters,179,1,Male,53,1,Manufacturing Director,4,Single,10650,No,15,18,4,2,0
39,No,Travel_Rarely,Sales,4,Masters,182,4,Female,47,2,Sales Executive,3,Married,5902,No,14,17,15,11,5
25,No,Travel_Rarely,Sales,28,Bachelors,183,1,Male,41,2,Sales Executive,3,Married,8639,No,18,6,2,2,2
30,No,Travel_Rarely,Human Resources,9,Bachelors,184,3,Male,48,3,Human Resources,4,Married,6347,Yes,19,12,11,9,4
32,Yes,Travel_Rarely,Research & Development,9,Bachelors,190,1,Female,41,3,Laboratory Technician,1,Single,4200,No,22,10,5,4,0
45,No,Travel_Rarely,Research & Development,29,Bachelors,192,3,Male,83,3,Research Scientist,4,Single,3452,No,13,9,6,5,0
38,No,Travel_Rarely,Research & Development,3,Doctorate,193,4,Female,32,3,Research Scientist,3,Single,4317,Yes,20,19,3,2,2
30,No,Travel_Rarely,Research & Development,18,Bachelors,194,1,Female,75,3,Research Scientist,3,Single,2632,No,14,5,5,4,0
32,No,Travel_Frequently,Sales,9,Associates,195,4,Male,35,1,Sales Executive,4,Divorced,4668,No,17,9,8,7,0
30,No,Travel_Rarely,Research & Development,5,Bachelors,197,4,Female,84,3,Research Scientist,1,Divorced,3204,No,14,8,3,2,2
30,No,Travel_Rarely,Research & Development,2,High School,198,2,Male,35,2,Laboratory Technician,4,Single,2720,No,13,6,5,3,1
41,No,Travel_Frequently,Research & Development,10,Bachelors,199,4,Male,91,2,Manager,1,Divorced,17181,No,13,21,7,6,7
41,No,Travel_Rarely,Research & Development,9,Masters,200,3,Male,94,3,Laboratory Technician,1,Married,2238,No,21,7,5,0,1
19,No,Travel_Rarely,Research & Development,3,High School,201,2,Female,79,3,Laboratory Technician,2,Single,1483,No,14,1,1,0,0
40,No,Travel_Frequently,Research & Development,26,Bachelors,202,2,Female,54,3,Research Scientist,2,Divorced,5605,No,11,20,20,7,2
35,No,Travel_Rarely,Sales,1,Doctorate,204,3,Male,94,3,Sales Executive,2,Married,7295,No,13,10,10,8,0
53,No,Travel_Rarely,Sales,6,Associates,205,2,Male,34,3,Sales Representative,3,Married,2306,Yes,20,13,7,7,4
45,No,Travel_Rarely,Research & Development,9,Bachelors,206,2,Male,60,3,Laboratory Technician,2,Divorced,2348,No,18,20,17,9,0
32,No,Travel_Frequently,Sales,8,Bachelors,207,2,Female,43,3,Sales Executive,4,Single,8998,No,14,9,9,8,3
29,No,Non-Travel,Research & Development,1,High School,208,4,Male,41,3,Manufacturing Director,3,Married,4319,No,13,10,10,7,0
51,No,Travel_Rarely,Research & Development,7,Masters,211,2,Male,34,2,Manufacturing Director,3,Married,6132,No,17,10,1,0,0
58,No,Travel_Rarely,Research & Development,9,Bachelors,214,2,Female,75,2,Research Scientist,2,Married,3346,Yes,20,9,1,0,0
40,No,Travel_Rarely,Sales,4,Masters,215,3,Male,67,2,Sales Executive,4,Married,10855,No,11,15,12,11,2
34,No,Travel_Frequently,Sales,2,Masters,216,3,Female,75,3,Sales Representative,3,Married,2231,No,18,6,4,3,1
22,No,Travel_Rarely,Research & Development,19,High School,217,3,Male,80,3,Research Scientist,4,Married,2323,No,24,2,2,2,2
27,No,Non-Travel,Research & Development,9,Bachelors,218,4,Male,57,3,Research Scientist,2,Divorced,2024,No,18,6,2,2,2
28,No,Travel_Rarely,Research & Development,21,Bachelors,221,3,Male,42,3,Research Scientist,4,Married,2713,No,11,5,5,2,0
57,No,Travel_Rarely,Research & Development,24,Associates,223,3,Male,83,4,Healthcare Representative,4,Divorced,9439,Yes,16,12,5,3,1
27,No,Non-Travel,Research & Development,3,Bachelors,224,3,Male,79,2,Research Scientist,3,Divorced,2566,Yes,15,1,1,1,0
50,No,Travel_Rarely,Research & Development,11,Bachelors,226,3,Female,53,3,Manager,2,Single,19926,No,15,21,5,4,4
41,No,Travel_Rarely,Research & Development,14,Bachelors,227,1,Male,56,3,Research Scientist,3,Divorced,2451,No,12,13,9,8,1
30,No,Travel_Rarely,Sales,5,Bachelors,228,2,Female,41,3,Sales Executive,4,Married,9419,No,12,12,10,9,7
38,No,Travel_Rarely,Sales,1,Masters,230,1,Female,59,2,Sales Executive,4,Single,8686,No,22,12,8,3,0
32,No,Travel_Rarely,Research & Development,6,Doctorate,231,3,Male,43,3,Research Scientist,3,Single,3038,No,20,8,5,4,1
27,No,Travel_Rarely,Research & Development,17,Bachelors,233,3,Male,51,3,Research Scientist,2,Married,3058,Yes,16,6,5,2,1
19,Yes,Travel_Frequently,Sales,1,High School,235,3,Female,100,1,Sales Representative,1,Single,2325,No,21,1,0,0,0
36,No,Travel_Frequently,Research & Development,3,Associates,238,4,Male,30,3,Laboratory Technician,2,Single,2088,No,12,13,8,7,7
30,No,Non-Travel,Research & Development,9,Bachelors,239,3,Male,66,3,Laboratory Technician,1,Divorced,3072,No,11,12,12,9,6
45,No,Travel_Rarely,Sales,4,Associates,240,3,Female,30,3,Sales Executive,1,Divorced,5006,Yes,11,9,5,4,0
56,No,Travel_Rarely,Research & Development,8,Bachelors,241,3,Female,67,3,Research Scientist,1,Divorced,4257,Yes,18,19,2,2,2
33,No,Travel_Rarely,Research & Development,2,Bachelors,242,3,Male,90,3,Research Scientist,4,Single,2500,No,14,4,3,1,0
19,Yes,Travel_Rarely,Research & Development,2,Bachelors,243,2,Male,47,2,Laboratory Technician,4,Single,1102,No,22,1,1,0,1
46,No,Travel_Rarely,Sales,1,Associates,244,2,Female,92,3,Sales Executive,1,Divorced,10453,No,25,24,24,13,15
38,No,Travel_Rarely,Research & Development,9,Associates,245,3,Female,75,3,Laboratory Technician,4,Single,2288,No,12,2,2,2,2
31,No,Travel_Rarely,Research & Development,12,High School,246,3,Female,95,3,Research Scientist,4,Married,3929,Yes,23,7,4,2,0
34,No,Travel_Rarely,Research & Development,27,Associates,247,4,Female,95,3,Research Scientist,2,Single,2311,No,15,9,3,2,1
41,Yes,Travel_Rarely,Sales,20,Associates,248,2,Female,70,3,Sales Representative,2,Single,3140,Yes,22,4,4,3,0
50,No,Travel_Rarely,Research & Development,1,Bachelors,249,3,Male,86,2,Laboratory Technician,3,Married,3690,No,15,5,3,2,0
53,No,Travel_Rarely,Research & Development,13,Associates,250,4,Female,57,4,Manufacturing Director,1,Divorced,4450,No,11,5,4,2,1
33,No,Travel_Rarely,Research & Development,14,Bachelors,252,4,Female,72,3,Research Scientist,2,Married,2756,No,13,8,8,7,1
40,No,Travel_Rarely,Research & Development,4,High School,253,4,Female,46,3,Manager,3,Married,19033,No,14,21,20,8,9
55,No,Travel_Rarely,Research & Development,14,Masters,254,3,Male,61,4,Research Director,2,Single,18722,No,11,36,24,15,2
34,No,Travel_Frequently,Research & Development,2,High School,256,4,Male,45,2,Manufacturing Director,3,Married,9547,No,17,10,10,9,1
51,No,Travel_Rarely,Research & Development,3,Bachelors,258,4,Female,98,3,Healthcare Representative,2,Single,13734,No,18,21,7,7,1
52,No,Travel_Rarely,Research & Development,1,Masters,259,3,Male,65,2,Manager,3,Married,19999,No,14,34,33,18,11
27,No,Travel_Rarely,Research & Development,9,Bachelors,260,4,Female,99,3,Research Scientist,2,Single,2279,No,16,7,7,7,0
35,Yes,Travel_Rarely,Research & Development,23,Associates,261,2,Male,50,2,Manufacturing Director,3,Married,5916,Yes,13,8,1,0,0
43,No,Non-Travel,Research & Development,7,Bachelors,262,4,Male,37,4,Research Scientist,4,Divorced,2089,No,14,7,5,4,2
45,No,Non-Travel,Research & Development,2,Associates,264,1,Male,65,2,Manager,4,Married,16792,No,23,22,20,8,11
37,No,Travel_Rarely,Research & Development,21,Bachelors,267,2,Male,65,4,Research Scientist,1,Married,3564,Yes,12,8,8,7,1
35,No,Travel_Frequently,Research & Development,2,Bachelors,269,2,Female,37,3,Laboratory Technician,2,Single,4425,No,11,10,6,2,1
42,No,Non-Travel,Research & Development,21,Associates,270,3,Female,36,3,Manufacturing Director,3,Divorced,5265,No,16,11,5,3,0
38,No,Travel_Rarely,Research & Development,2,Masters,271,4,Male,88,3,Manufacturing Director,3,Married,6553,No,14,14,1,0,0
38,No,Travel_Rarely,Research & Development,29,Bachelors,273,4,Male,54,3,Manufacturing Director,4,Married,6261,No,18,9,7,7,1
27,No,Travel_Frequently,Research & Development,1,High School,274,3,Male,60,2,Manufacturing Director,1,Married,4298,No,19,6,2,2,2
49,No,Non-Travel,Research & Development,18,Masters,275,4,Male,92,3,Manufacturing Director,4,Divorced,6804,Yes,15,7,7,7,1
34,No,Travel_Frequently,Research & Development,10,Masters,277,4,Male,43,3,Research Scientist,3,Divorced,3815,Yes,17,5,5,3,2
40,No,Travel_Rarely,Research & Development,19,Associates,281,3,Male,99,3,Laboratory Technician,4,Married,2741,Yes,15,15,7,2,3
38,Yes,Travel_Rarely,Research & Development,29,High School,282,2,Male,70,3,Healthcare Representative,1,Married,6673,Yes,19,17,1,0,0
29,Yes,Travel_Rarely,Sales,27,Bachelors,283,2,Female,35,3,Sales Executive,4,Married,7639,No,22,10,10,4,1
22,No,Travel_Rarely,Research & Development,5,Bachelors,284,4,Male,60,4,Research Scientist,2,Divorced,2328,Yes,16,4,4,2,2
36,No,Travel_Frequently,Research & Development,18,High School,286,2,Female,73,3,Laboratory Technician,4,Single,2153,No,13,8,8,1,1
40,No,Non-Travel,Research & Development,9,Doctorate,287,4,Male,63,2,Healthcare Representative,4,Married,4876,No,14,5,3,2,0
46,No,Travel_Rarely,Research & Development,1,Masters,288,4,Male,97,3,Healthcare Representative,1,Divorced,9396,No,16,17,4,2,0
